subject,topic,text
Mathematics,Algebra,"Algebra uses symbols and variables to represent unknown values."
Mathematics,Algebra,"Algebraic expressions consist of constants, variables, and operators."
Mathematics,Algebra,"Equations in algebra express equality between two expressions."
Mathematics,Algebra,"Algebra helps solve real-world problems using mathematical models."
Mathematics,Algebra,"Simplification is a key process in algebra."

Mathematics,Linear Equations,"Linear equations have variables with degree one."
Mathematics,Linear Equations,"The graph of a linear equation is a straight line."
Mathematics,Linear Equations,"Slope represents the rate of change in linear equations."
Mathematics,Linear Equations,"Linear equations can have one or infinitely many solutions."
Mathematics,Linear Equations,"Solving linear equations involves isolating variables."

Science,Physics,"Physics studies motion, energy, force, and matter."
Science,Physics,"Newton's laws explain motion and force interactions."
Science,Physics,"Energy can neither be created nor destroyed."
Science,Physics,"Physics explains natural phenomena using mathematical models."
Science,Physics,"Force causes changes in motion or shape."

Science,Biology,"Biology studies living organisms and life processes."
Science,Biology,"Cells are the basic unit of life."
Science,Biology,"Photosynthesis occurs in plants to produce food."
Science,Biology,"Genetics explains inheritance and variation."
Science,Biology,"Evolution explains diversity of life."

Computer Science,Data Structures,"Data structures organize data efficiently."
Computer Science,Data Structures,"Arrays store elements in contiguous memory."
Computer Science,Data Structures,"Linked lists use nodes connected by pointers."
Computer Science,Data Structures,"Stacks follow LIFO principle."
Computer Science,Data Structures,"Queues follow FIFO principle."

Languages,English Grammar,"English grammar defines sentence structure and syntax."
Languages,English Grammar,"Tenses indicate time of action."
Languages,English Grammar,"Nouns name people, places, or things."
Languages,English Grammar,"Verbs express actions or states."
Languages,English Grammar,"Adjectives describe nouns."

Languages,English Literature,"English literature includes poetry, drama, and prose."
Languages,English Literature,"Shakespeare contributed significantly to English drama."
Languages,English Literature,"Poetry uses rhythm and figurative language."
Languages,English Literature,"Literary themes reflect human experiences."
Languages,English Literature,"Novels explore characters and society."

Languages,Hindi Grammar,"Hindi grammar defines gender, tense, and sentence order."
Languages,Hindi Grammar,"Hindi verbs change according to tense and subject."
Languages,Hindi Grammar,"Hindi nouns have masculine and feminine forms."
Languages,Hindi Grammar,"Postpositions are used instead of prepositions."
Languages,Hindi Grammar,"Sentence structure follows subject-object-verb order."

Languages,Tamil Grammar,"Tamil grammar follows subject-object-verb sentence order."
Languages,Tamil Grammar,"Tamil verbs change based on tense and subject."
Languages,Tamil Grammar,"Tamil nouns do not have grammatical gender like many languages."
Languages,Tamil Grammar,"Classical Tamil grammar is described in Tolkappiyam."
Languages,Tamil Grammar,"Tamil uses agglutination to form words."

Languages,Telugu Grammar,"Telugu grammar follows subject-object-verb structure."
Languages,Telugu Grammar,"Telugu verbs are inflected for tense and respect."
Languages,Telugu Grammar,"Telugu uses suffixes to indicate grammatical relationships."
Languages,Telugu Grammar,"Telugu has vowels and consonants influenced by Sanskrit."
Languages,Telugu Grammar,"Sentence endings define meaning in Telugu."

Languages,French Grammar,"French nouns have gender."
Languages,French Grammar,"Verb conjugation changes with subject."
Languages,French Grammar,"Adjectives agree in gender and number."
Languages,French Grammar,"French uses accents to change pronunciation."
Languages,French Grammar,"Sentence structure follows subject-verb-object."

Social Science,History,"History studies past events."
Social Science,History,"Historical sources include inscriptions and manuscripts."
Social Science,History,"Civilizations evolved over time."
Social Science,History,"Wars influence political boundaries."
Social Science,History,"History helps understand present society."
